"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BTB1";"KEYSTONE-2988-BC-SMD";1;"BH411-1P";;;
2;"C1,C8,C9,C13,C15,C19,C20,C22,C24,C26,C29,C31,C33,C34,C35,C36,C38,C39,C44,C45,C46,C47,C48,C55,C56,C57,C60,C61,C65,C66,C70";"VS-DSP_SM0603";31;"100n";;;
3;"C2,C7,C11,C17,C21,C30,C41,C43,C52,C53,C54,C58,C59";"VS-DSP_SM0805";13;"10u";;;
4;"C3,C4,C5,C6";"VS-DSP_SM0603";4;"470n";;;
5;"C10,C12,C14,C16,R40,R41,R49";"VS-DSP_SM0603";7;"NO";;;
6;"C18,C23";"VS-DSP_SM0805";2;"4u7";;;
7;"C25,C32,C40,C42,C67,C68";"VS-DSP_SM0805";6;"1u";;;
8;"C27,C28";"VS-DSP_SM0603";2;"33p";;;
9;"C37";"VS-DSP_SM0603";1;"10n";;;
10;"C49,C50";"VS-DSP_SM0805_POL";2;"100u";;;
11;"C51,C64";"SM1210";2;"22u";;;
12;"C62,C63";"SM1206";2;"2u2";;;
13;"C69";"VS-DSP_SM0805_POL";1;"NO";;;
14;"D0";"VS-DSP_SM0603_POL";1;"LED";;;
15;"D1";"VS-DSP_SM0805_POL";1;"LED";;;
16;"D5";"SOD-80";1;"ZMM5234B-7-F ";;;
17;"JP1";"PIN_ARRAY_2X1";1;"3V3-USB";;;
18;"L1,L2";"VS-DSP_SM0805";2;"BLM21AG151SN1D";;;
19;"L3,L4,L5,L6,L7,L8";"VS-DSP_SM0805";6;"BLM18AG601SN1D";;;
20;"P1";"uMate-NLock_2";1;"3V3";;;
21;"P2";"front_vsoh_logo";1;"DSP";;;
22;"P3";"uMate-NLock_2";1;"CH1";;;
23;"P4";"uMate-NLock_2";1;"CH2";;;
24;"P5";"uMate-NLock_2";1;"CH3";;;
25;"P6";"FC68145S";1;"3V3-REG";;;
26;"P7,P8,P9,P12";"fiducial15";4;"CONN_1";;;
27;"P10,P19,P21";"VS_1PIN";3;"DSP-SDA";;;
28;"P13,P14";"fix_hole_idrophone";2;"CONN_1";;;
29;"P15";"WaferAssy_5";1;"CONN_5";;;
30;"P16";"WaferAssy_9";1;"SPI";;;
31;"P17";"WaferAssy_4";1;"UART";;;
32;"P18";"WaferAssy_4";1;"I2C";;;
33;"P20";"idrophone_enc_layout";1;"CONN_1";;;
34;"R1,R7,R9,R10,R12,R15,R25,R26,R29,R30,R35,R48,R50,R51,R52,R53,R54,R58";"VS-DSP_SM0603";18;"0";;;
35;"R2,R17,R19,R21,R22,R24,R31,R33,R34,R36,R37,R38,R39,R42,R43,R44,R45,R46,R47,R55,R57";"VS-DSP_SM0603";21;"10K";;;
36;"R3,R13";"VS-DSP_SM0603";2;"4K7";;;
37;"R4,R5,R6,R8";"VS-DSP_SM0603";4;"1K";;;
38;"R11,R14";"VS-DSP_SM0603";2;"300";;;
39;"R18,R20,R23";"VS-DSP_SM0603";3;"100K";;;
40;"R27,R56";"VS-DSP_SM0603";2;"220";;;
41;"SD1,SD2";"MCH_FCI-10067847-001";2;"SD";;;
42;"SW1,SW2";"SSSS224001";2;"JS202011SCQN";;;
43;"U1";"VSCN-SOT23-5";1;"TPS76933";;;
44;"U2";"RHB_S-PVQFN-N32";1;"TLV320AIC3204";;;
45;"U3";"Si7020";1;"SI7020";;;
46;"U4";"QRZ_DSX321G_12MHZ";1;"ASDM1-12.000MHZ";;;
47;"U5";"S-PBGA-N144";1;"C5535";;;
48;"USB1";"uUSB-FCI_REC";1;"MICRO-USB";;;
49;"X1";"quarzo_smd_32_768kHz";1;"32.768KHz";;;
